City ID,App,GB,Trips,NetRev,Basket,ActE,NewE,SMB,AOV,Take_rate,Trips_per_AE_month
A1,Postmates,581300.0,15370.0,83993.0,454287.0,385.0769230769231,565.0,0.8401076923076923,29.556733897202342,0.1444916566316876,3.0703156212544944
A1,UberEats,11602134.0,299809.0,1837081.0,8860245.0,6558.153846153846,6141.0,0.8524692307692308,29.55296538796367,0.1583399226383698,3.516573613587314
A2,Postmates,197013.0,5507.0,18994.0,157849.0,145.15384615384616,225.0,0.8276923076923077,28.66333757036499,0.09640988158141849,2.9183889772125062
A2,UberEats,4624875.0,123767.0,717254.0,3499656.0,2689.3076923076924,2093.0,0.8177692307692308,28.276164082509876,0.15508613746317468,3.540144732702154
B1,Postmates,187994.0,4641.0,9640.0,153797.0,150.15384615384616,385.0,0.8825692307692308,33.13876319758673,0.051278232284009066,2.377561475409836
B1,UberEats,9381759.0,252728.0,1336643.0,7287698.0,5311.7692307692305,4255.0,0.805623076923077,28.836132126238486,0.14247253633353832,3.6599133998522877
C1,Postmates,465325.0,12161.0,48603.0,369223.0,291.3076923076923,284.0,0.8404076923076923,30.361236740399637,0.10444957825175952,3.2112490097702664
C1,UberEats,1831713.0,48840.0,227897.0,1378592.0,1304.1538461538462,1848.0,0.7996769230769231,28.226699426699426,0.12441741692066388,2.8807361094726907
C2,Postmates,437143.0,11060.0,54031.0,338570.0,329.38461538461536,539.0,0.842323076923077,30.612115732368895,0.12360028640513517,2.5829051844932276
C2,UberEats,14969028.0,417192.0,2034969.0,11388753.0,8806.846153846154,7512.0,0.7635153846153846,27.298589138813785,0.1359452998551409,3.6439483269135025
C3,Postmates,74399.0,1783.0,6107.0,60917.0,58.38461538461539,149.0,0.8190307692307692,34.165451486259116,0.08208443661877175,2.3491436100131753
C3,UberEats,5163507.0,131350.0,945164.0,3980840.0,2982.6923076923076,2502.0,0.7962615384615385,30.307118385991625,0.18304690978437718,3.38749194068343
D1,Postmates,335325.0,9375.0,39533.0,267273.0,256.15384615384613,528.0,0.7839615384615384,28.50912,0.11789457988518601,2.815315315315315
D1,UberEats,12499069.0,353949.0,2099545.0,9494752.0,7365.307692307692,7057.0,0.7539538461538462,26.825197980500015,0.1679761108607369,3.6966339074037324
D2,Postmates,417790.0,10581.0,60766.0,327533.0,280.6923076923077,278.0,0.8185923076923077,30.95482468575749,0.14544627683764572,2.8996985475472736
